Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
tr|Q91WH2|Q91WH2_MOUSE	Q91WH2	Q91WH2_MOUSE	Ugt2b38	530	Mus musculus OX=10090	UDP glucuronosyltransferase 2 family, polypeptide B38 	2:Experimental evidence at transcript level	1.0000	0.9986	2	2	2	4	4	4	     0	     0	     0	14K(28.0313), 17K(28.0313), N-term(28.0313)		
tr|Q91WT7|Q91WT7_MOUSE	Q91WT7	Q91WT7_MOUSE	Akr1c14	323	Mus musculus OX=10090	3-alpha-hydroxysteroid dehydrogenase type 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	86	86	86	     0	     0	     0	11M(15.9949), 12K(28.0313), 21K(28.0313), 8K(28.0313), N-term(28.0313)		
tr|Q91X75|Q91X75_MOUSE	Q91X75	Q91X75_MOUSE	Cyp2a5	494	Mus musculus OX=10090	Cytochrome P450 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	6	1	6	     0	     0	     0	N-term(28.0313)		
tr|Q921K2|Q921K2_MOUSE	Q921K2	Q921K2_MOUSE	Parp1	1014	Mus musculus OX=10090	Poly [ADP-ribose] polymerase 	1:Experimental evidence at protein level	1.0000	0.9990	9	2	9	27	3	27	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 16K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q924B0|Q924B0_MOUSE	Q924B0	Q924B0_MOUSE	Impa1	277	Mus musculus OX=10090	Inositol-1-monophosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	21	0	21	     0	     0	     0	11K(28.0313), 13K(28.0313), N-term(28.0313)		
tr|Q99JZ4|Q99JZ4_MOUSE	Q99JZ4	Q99JZ4_MOUSE	Sar1a	198	Mus musculus OX=10090	GTP-binding protein SAR1a 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	11	5	11	     0	     0	     0	12K(28.0313), 23K(28.0313), 8K(28.0313), N-term(28.0313)		
tr|Q99N19|Q99N19_MOUSE	Q99N19	Q99N19_MOUSE	Cyp4f13	523	Mus musculus OX=10090	Cytochrome P450 CYP4F13 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	37	0	37	     0	     0	     0	12K(28.0313), 17K(28.0313), 2K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
tr|Q9CPX4|Q9CPX4_MOUSE	Q9CPX4	Q9CPX4_MOUSE	Ftl1	183	Mus musculus OX=10090	Ferritin 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	146	0	146	     0	     0	     0	11M(15.9949), 13K(28.0313), 16K(28.0313), 5M(15.9949), 8K(28.0313), N-term(28.0313)		
tr|Q9CQ73|Q9CQ73_MOUSE	Q9CQ73	Q9CQ73_MOUSE	Pkp2	795	Mus musculus OX=10090	Plakophilin 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	39	39	39	     0	     0	     0	10K(28.0313), 11K(28.0313), 15K(28.0313), 1M(15.9949), 8M(15.9949), N-term(28.0313)		
tr|Q9D809|Q9D809_MOUSE	Q9D809	Q9D809_MOUSE	2200002D01Rik	114	Mus musculus OX=10090	RIKEN cDNA 2200002D01 gene 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	     0	     0	     0	12K(28.0313), 1K(28.0313), N-term(28.0313)		
tr|Q9DBK7|Q9DBK7_MOUSE	Q9DBK7	Q9DBK7_MOUSE	Uba7	977	Mus musculus OX=10090	E1 ubiquitin-activating enzyme 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	3	2	3	     0	     0	     0	14K(28.0313), N-term(28.0313)		
tr|Q9DCE9|Q9DCE9_MOUSE	Q9DCE9	Q9DCE9_MOUSE	Igtp	423	Mus musculus OX=10090	Interferon gamma-induced GTPase 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	35	29	35	     0	     0	     0	9K(28.0313), N-term(28.0313)		
tr|Q9JKY7|Q9JKY7_MOUSE	Q9JKY7	Q9JKY7_MOUSE	Cyp2d22	500	Mus musculus OX=10090	Cytochrome P450 	1:Experimental evidence at protein level	1.0000	0.9990	10	5	10	78	30	78	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 5M(15.9949), 6M(15.9949), N-term(28.0313)		
tr|Q9JLI0|Q9JLI0_MOUSE	Q9JLI0	Q9JLI0_MOUSE	Akr1c12	323	Mus musculus OX=10090	Aldo-keto reductase a 	1:Experimental evidence at protein level	1.0000	0.9990	11	3	11	119	40	119	     0	     0	     0	10K(28.0313), 15M(15.9949), 16K(28.0313), 18M(15.9949), 19K(28.0313), 21K(28.0313), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q9Z1A1|Q9Z1A1_MOUSE	Q9Z1A1	Q9Z1A1_MOUSE	Tfg	397	Mus musculus OX=10090	TFG protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	14	5	14	     0	     0	     0	10K(28.0313), N-term(28.0313)		
tr|Q9Z1R9|Q9Z1R9_MOUSE	Q9Z1R9	Q9Z1R9_MOUSE	Prss1	246	Mus musculus OX=10090	Protease, serine 1 (trypsin 1) 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	8	2	8	     0	     0	     0	20K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|A2RSY6|TRM1L_MOUSE	A2RSY6	TRM1L_MOUSE	Trmt1l	728	Mus musculus OX=10090	TRMT1-like protein 	1:Experimental evidence at protein level	0.9999	0.9945	2	0	2	2	0	2	     0	     0	     0	15K(28.0313), N-term(28.0313)		tr|A0A0R4J0U8|A0A0R4J0U8_MOUSE
sp|E9Q137|TX264_MOUSE	E9Q137	TX264_MOUSE	Tex264	309	Mus musculus OX=10090	Testis-expressed protein 264 homolog 	2:Experimental evidence at transcript level	0.9999	0.9984	2	2	2	8	8	8	     0	     0	     0	10K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O09110|MP2K3_MOUSE	O09110	MP2K3_MOUSE	Map2k3	347	Mus musculus OX=10090	Dual specificity mitogen-activated protein kinase kinase 3 	1:Experimental evidence at protein level	0.9999	0.9990	2	1	2	5	4	5	     0	     0	     0	16K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O55013|TPPC3_MOUSE	O55013	TPPC3_MOUSE	Trappc3	180	Mus musculus OX=10090	Trafficking protein particle complex subunit 3 	1:Experimental evidence at protein level	0.9999	0.9990	2	2	2	3	3	3	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	Catalase 	1:Experimental evidence at protein level	0.9999	0.9990	1	1	1	15	15	15	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|P14824|ANXA6_MOUSE	P14824	ANXA6_MOUSE	Anxa6	673	Mus musculus OX=10090	Annexin A6 	1:Experimental evidence at protein level	0.9999	0.9990	1	1	1	4	4	4	     0	     0	     0	24K(28.0313), N-term(28.0313)		
sp|P25446|TNR6_MOUSE	P25446	TNR6_MOUSE	Fas	327	Mus musculus OX=10090	Tumor necrosis factor receptor superfamily member 6 	1:Experimental evidence at protein level	0.9999	0.9983	2	0	2	2	0	2	     0	     0	     0	16K(28.0313), 5M(15.9949), 9K(28.0313), N-term(28.0313)		tr|A0A494BBP5|A0A494BBP5_MOUSE
sp|P28659|CELF1_MOUSE	P28659	CELF1_MOUSE	Celf1	486	Mus musculus OX=10090	CUGBP Elav-like family member 1 	1:Experimental evidence at protein level	0.9999	0.9962	1	0	1	8	0	8	     0	     0	     0	12K(28.0313), 5M(15.9949), N-term(28.0313)		tr|A0A0R4J0T5|A0A0R4J0T5_MOUSE
sp|P46425|GSTP2_MOUSE	P46425	GSTP2_MOUSE	Gstp2	210	Mus musculus OX=10090	Glutathione S-transferase P 2 	1:Experimental evidence at protein level	0.9999	0.9990	1	0	1	15	0	15	     0	     0	     0	7M(15.9949), N-term(28.0313)		
sp|P49615|CDK5_MOUSE	P49615	CDK5_MOUSE	Cdk5	292	Mus musculus OX=10090	Cyclin-dependent kinase 5 	1:Experimental evidence at protein level	0.9999	0.9987	2	1	2	7	5	7	     0	     0	     0	15K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P60521|GBRL2_MOUSE	P60521	GBRL2_MOUSE	Gabarapl2	117	Mus musculus OX=10090	Gamma-aminobutyric acid receptor-associated protein-like 2 	1:Experimental evidence at protein level	0.9999	0.9975	2	2	2	2	2	2	     0	     0	     0	15K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q01339|APOH_MOUSE	Q01339	APOH_MOUSE	Apoh	345	Mus musculus OX=10090	Beta-2-glycoprotein 1 	1:Experimental evidence at protein level	0.9999	0.9981	2	2	2	3	3	3	     0	     0	     0	9K(28.0313), N-term(28.0313)		
sp|Q3U186|SYRM_MOUSE	Q3U186	SYRM_MOUSE	Rars2	578	Mus musculus OX=10090	Probable arginine--tRNA ligase, mitochondrial 	1:Experimental evidence at protein level	0.9999	0.9978	2	2	2	2	2	2	     0	     0	     0	N-term(28.0313)		
sp|Q68FL4|SAHH3_MOUSE	Q68FL4	SAHH3_MOUSE	Ahcyl2	613	Mus musculus OX=10090	Putative adenosylhomocysteinase 3 	1:Experimental evidence at protein level	0.9999	0.9990	2	0	2	9	0	9	     0	     0	     0	7K(28.0313), N-term(28.0313)		tr|F8WGT1|F8WGT1_MOUSE
sp|Q6RHR9|MAGI1_MOUSE	Q6RHR9	MAGI1_MOUSE	Magi1	1471	Mus musculus OX=10090	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 	1:Experimental evidence at protein level	0.9999	0.9985	3	0	3	5	0	5	     0	     0	     0	11K(28.0313), 12K(28.0313), 15K(28.0313), N-term(28.0313)		tr|A0A0N4SUZ0|A0A0N4SUZ0_MOUSE
sp|Q7M753|PANK2_MOUSE	Q7M753	PANK2_MOUSE	Pank2	456	Mus musculus OX=10090	Pantothenate kinase 2, mitochondrial 	1:Experimental evidence at protein level	0.9999	0.9990	2	0	2	7	0	7	     0	     0	     0	N-term(28.0313)		
sp|Q8BP27|SFR1_MOUSE	Q8BP27	SFR1_MOUSE	Sfr1	319	Mus musculus OX=10090	Swi5-dependent recombination DNA repair protein 1 homolog 	1:Experimental evidence at protein level	0.9999	0.9990	2	2	2	8	8	8	     0	     0	     0	18K(28.0313), N-term(28.0313)		
sp|Q8BRT1|CLAP2_MOUSE	Q8BRT1	CLAP2_MOUSE	Clasp2	1286	Mus musculus OX=10090	CLIP-associating protein 2 	1:Experimental evidence at protein level	0.9999	0.9970	2	0	2	2	0	2	     0	     0	     0	14K(28.0313), N-term(28.0313)		tr|A0A1L1ST22|A0A1L1ST22_MOUSE, tr|E9Q8N5|E9Q8N5_MOUSE, tr|F7DCH5|F7DCH5_MOUSE, tr|Q08EB5|Q08EB5_MOUSE, tr|Q08EB6|Q08EB6_MOUSE
sp|Q8CAY6|THIC_MOUSE	Q8CAY6	THIC_MOUSE	Acat2	397	Mus musculus OX=10090	Acetyl-CoA acetyltransferase, cytosolic 	1:Experimental evidence at protein level	0.9999	0.9990	11	0	11	158	0	158	     0	     0	     0	10K(28.0313), 11K(28.0313), 14M(15.9949), 18M(15.9949), 19M(15.9949), 23K(28.0313), 24K(28.0313), 29M(15.9949), 30K(28.0313), 8K(28.0313), 8M(15.9949), N-term(28.0313)		
sp|Q8CCM6|TIM21_MOUSE	Q8CCM6	TIM21_MOUSE	Timm21	244	Mus musculus OX=10090	Mitochondrial import inner membrane translocase subunit Tim21 	1:Experimental evidence at protein level	0.9999	0.9989	2	2	2	2	2	2	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|Q8R4R6|NUP35_MOUSE	Q8R4R6	NUP35_MOUSE	Nup35	325	Mus musculus OX=10090	Nucleoporin NUP35 	1:Experimental evidence at protein level	0.9999	0.9981	2	2	2	2	2	2	     0	     0	     0	17M(15.9949), N-term(28.0313)		
sp|Q8R4Y4|STAB1_MOUSE	Q8R4Y4	STAB1_MOUSE	Stab1	2571	Mus musculus OX=10090	Stabilin-1 	1:Experimental evidence at protein level	0.9999	0.9931	2	0	2	2	0	2	     0	     0	     0	12K(28.0313), N-term(28.0313)		tr|G3X973|G3X973_MOUSE
sp|Q8VC52|RBPS2_MOUSE	Q8VC52	RBPS2_MOUSE	Rbpms2	206	Mus musculus OX=10090	RNA-binding protein with multiple splicing 2 	1:Experimental evidence at protein level	0.9999	0.9990	2	0	2	7	0	7	     0	     0	     0	12K(28.0313), N-term(28.0313)		tr|A0A1L1SVH5|A0A1L1SVH5_MOUSE, tr|Q9CWY6|Q9CWY6_MOUSE
sp|Q91Z38|TTC1_MOUSE	Q91Z38	TTC1_MOUSE	Ttc1	292	Mus musculus OX=10090	Tetratricopeptide repeat protein 1 	1:Experimental evidence at protein level	0.9999	0.9981	2	0	2	2	0	2	     0	     0	     0	18K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A2AJK8|A2AJK8_MOUSE
sp|Q99ME9|GTPB4_MOUSE	Q99ME9	GTPB4_MOUSE	Gtpbp4	634	Mus musculus OX=10090	GTP-binding protein 4 	1:Experimental evidence at protein level	0.9999	0.9990	1	1	1	1	1	1	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|Q9CR09|UFC1_MOUSE	Q9CR09	UFC1_MOUSE	Ufc1	167	Mus musculus OX=10090	Ubiquitin-fold modifier-conjugating enzyme 1 	1:Experimental evidence at protein level	0.9999	0.9986	2	0	2	6	0	6	     0	     0	     0	9K(28.0313), N-term(28.0313)		tr|M0QWS4|M0QWS4_MOUSE
sp|Q9CZU3|MTREX_MOUSE	Q9CZU3	MTREX_MOUSE	Mtrex	1040	Mus musculus OX=10090	Exosome RNA helicase MTR4 	1:Experimental evidence at protein level	0.9999	0.9983	1	1	1	1	1	1	     0	     0	     0	N-term(28.0313)		
sp|Q9D0B5|TSTD3_MOUSE	Q9D0B5	TSTD3_MOUSE	Tstd3	157	Mus musculus OX=10090	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 	1:Experimental evidence at protein level	0.9999	0.9990	1	1	1	7	7	7	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|Q9DC29|ABCB6_MOUSE	Q9DC29	ABCB6_MOUSE	Abcb6	842	Mus musculus OX=10090	ATP-binding cassette sub-family B member 6 	1:Experimental evidence at protein level	0.9999	0.9990	1	1	1	5	5	5	     0	     0	     0	12K(28.0313), N-term(28.0313)		
sp|Q9EPB5|SERHL_MOUSE	Q9EPB5	SERHL_MOUSE	Serhl	311	Mus musculus OX=10090	Serine hydrolase-like protein 	1:Experimental evidence at protein level	0.9999	0.9966	2	0	2	2	0	2	     0	     0	     0	13K(28.0313), 20K(28.0313), N-term(28.0313)		tr|Q3U3G8|Q3U3G8_MOUSE
sp|Q9ERA6|TFP11_MOUSE	Q9ERA6	TFP11_MOUSE	Tfip11	838	Mus musculus OX=10090	Tuftelin-interacting protein 11 	1:Experimental evidence at protein level	0.9999	0.9964	2	2	2	2	2	2	     0	     0	     0	11K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|Q9JJF9|SPP2A_MOUSE	Q9JJF9	SPP2A_MOUSE	Sppl2a	523	Mus musculus OX=10090	Signal peptide peptidase-like 2A 	1:Experimental evidence at protein level	0.9999	0.9981	2	2	2	5	5	5	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|Q9JKC8|AP3M1_MOUSE	Q9JKC8	AP3M1_MOUSE	Ap3m1	418	Mus musculus OX=10090	AP-3 complex subunit mu-1 	1:Experimental evidence at protein level	0.9999	0.9990	2	0	2	5	0	5	     0	     0	     0	14K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A0A286YDZ6|A0A286YDZ6_MOUSE, tr|H7BWY2|H7BWY2_MOUSE
sp|Q9JM99|PRG4_MOUSE	Q9JM99	PRG4_MOUSE	Prg4	1054	Mus musculus OX=10090	Proteoglycan 4 	1:Experimental evidence at protein level	0.9999	0.9946	2	0	2	5	0	5	     0	     0	     0	11K(28.0313), 26K(28.0313), 8K(28.0313), N-term(28.0313)		tr|E0CZ58|E0CZ58_MOUSE, tr|E9QQ17|E9QQ17_MOUSE, tr|E9QQ18|E9QQ18_MOUSE
sp|Q9JMG7|HDGR3_MOUSE	Q9JMG7	HDGR3_MOUSE	Hdgfl3	202	Mus musculus OX=10090	Hepatoma-derived growth factor-related protein 3 	1:Experimental evidence at protein level	0.9999	0.9988	2	2	2	2	2	2	     0	     0	     0	10K(28.0313), 15K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|Q9R0I7|YLPM1_MOUSE	Q9R0I7	YLPM1_MOUSE	Ylpm1	1386	Mus musculus OX=10090	YLP motif-containing protein 1 	2:Experimental evidence at transcript level	0.9999	0.9940	2	0	2	2	0	2	     0	     0	     0	13K(28.0313), 22K(28.0313), N-term(28.0313)		tr|D3YWX2|D3YWX2_MOUSE, tr|E9Q803|E9Q803_MOUSE
sp|Q9Z2V5|HDAC6_MOUSE	Q9Z2V5	HDAC6_MOUSE	Hdac6	1149	Mus musculus OX=10090	Histone deacetylase 6 	1:Experimental evidence at protein level	0.9999	0.9990	1	0	1	4	0	4	     0	     0	     0	14K(28.0313), N-term(28.0313)		tr|A0A1B0GX25|A0A1B0GX25_MOUSE
tr|A3KGU5|A3KGU5_MOUSE	A3KGU5	A3KGU5_MOUSE	Sptan1	2457	Mus musculus OX=10090	Spectrin alpha chain, non-erythrocytic 1 	1:Experimental evidence at protein level	0.9999	0.9990	1	0	1	6	0	6	     0	     0	     0	17K(28.0313), N-term(28.0313)		tr|E9Q447|E9Q447_MOUSE
tr|A6ZI46|A6ZI46_MOUSE	A6ZI46	A6ZI46_MOUSE	Aldoart1	419	Mus musculus OX=10090	Fructose-bisphosphate aldolase 	1:Experimental evidence at protein level	0.9999	0.9990	1	0	1	1	0	1	     0	     0	     0	12M(15.9949), N-term(28.0313)		tr|Q9CPQ9|Q9CPQ9_MOUSE
tr|E9Q0M9|E9Q0M9_MOUSE	E9Q0M9	E9Q0M9_MOUSE	Cald1	534	Mus musculus OX=10090	Caldesmon 1 	1:Experimental evidence at protein level	0.9999	0.9990	1	0	1	5	0	5	     0	     0	     0	10K(28.0313), N-term(28.0313)		tr|E9QA16|E9QA16_MOUSE, tr|Q8VCQ8|Q8VCQ8_MOUSE, tr|S4R1T7|S4R1T7_MOUSE
tr|E9Q8Z5|E9Q8Z5_MOUSE	E9Q8Z5	E9Q8Z5_MOUSE	Ctnnd1	940	Mus musculus OX=10090	Catenin delta-1 	1:Experimental evidence at protein level	0.9999	0.9990	1	0	1	3	0	3	     0	     0	     0	N-term(28.0313)		
tr|F6U5V1|F6U5V1_MOUSE	F6U5V1	F6U5V1_MOUSE	Larp1b	541	Mus musculus OX=10090	La ribonucleoprotein domain family, member 1B 	1:Experimental evidence at protein level	0.9999	0.9990	2	1	2	5	4	5	     0	     0	     0	11K(28.0313), 18K(28.0313), N-term(28.0313)		
tr|Q561M1|Q561M1_MOUSE	Q561M1	Q561M1_MOUSE	Acp1	158	Mus musculus OX=10090	Low molecular weight phosphotyrosine protein phosphatase 	1:Experimental evidence at protein level	0.9999	0.9990	3	2	3	12	5	12	     0	     0	     0	11K(28.0313), N-term(28.0313)		
tr|Q80X81|Q80X81_MOUSE	Q80X81	Q80X81_MOUSE	Acat3	397	Mus musculus OX=10090	Acetyl-Coenzyme A acetyltransferase 3 	1:Experimental evidence at protein level	0.9999	0.9990	1	1	1	1	1	1	     0	     0	     0	29M(15.9949), 30K(28.0313), N-term(28.0313)		
tr|Q8BQ46|Q8BQ46_MOUSE	Q8BQ46	Q8BQ46_MOUSE	Taf15	557	Mus musculus OX=10090	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor 	1:Experimental evidence at protein level	0.9999	0.9990	4	1	4	31	2	31	     0	     0	     0	14K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|A1L317|K1C24_MOUSE	A1L317	K1C24_MOUSE	Krt24	512	Mus musculus OX=10090	Keratin, type I cytoskeletal 24 	2:Experimental evidence at transcript level	0.9998	0.9942	1	1	1	3	3	3	     0	     0	     0	3M(15.9949), N-term(28.0313)		
sp|A2A432|CUL4B_MOUSE	A2A432	CUL4B_MOUSE	Cul4b	970	Mus musculus OX=10090	Cullin-4B 	1:Experimental evidence at protein level	0.9998	0.9990	1	0	1	7	0	7	     0	     0	     0	N-term(28.0313)		tr|E9PXY1|E9PXY1_MOUSE
sp|O08800|SPB8_MOUSE	O08800	SPB8_MOUSE	Serpinb8	374	Mus musculus OX=10090	Serpin B8 	1:Experimental evidence at protein level	0.9998	0.9990	2	2	2	7	7	7	     0	     0	     0	13K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35678|MGLL_MOUSE	O35678	MGLL_MOUSE	Mgll	303	Mus musculus OX=10090	Monoglyceride lipase 	1:Experimental evidence at protein level	0.9998	0.9990	1	0	1	8	0	8	     0	     0	     0	11K(28.0313), N-term(28.0313)		tr|D3YYS6|D3YYS6_MOUSE, tr|E9Q3B9|E9Q3B9_MOUSE, tr|Q3UFN1|Q3UFN1_MOUSE
sp|P00687|AMY1_MOUSE	P00687	AMY1_MOUSE	Amy1	511	Mus musculus OX=10090	Alpha-amylase 1 	1:Experimental evidence at protein level	0.9998	0.9990	1	0	1	5	0	5	     0	     0	     0	N-term(28.0313)		
sp|P07361|A1AG2_MOUSE	P07361	A1AG2_MOUSE	Orm2	207	Mus musculus OX=10090	Alpha-1-acid glycoprotein 2 	1:Experimental evidence at protein level	0.9998	0.9989	2	1	2	6	5	6	     0	     0	     0	7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P16294|FA9_MOUSE	P16294	FA9_MOUSE	F9	471	Mus musculus OX=10090	Coagulation factor IX 	2:Experimental evidence at transcript level	0.9998	0.9990	2	2	2	5	5	5	     0	     0	     0	12K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|P17047|LAMP2_MOUSE	P17047	LAMP2_MOUSE	Lamp2	415	Mus musculus OX=10090	Lysosome-associated membrane glycoprotein 2 	1:Experimental evidence at protein level	0.9998	0.9990	2	2	2	4	4	4	     0	     0	     0	8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|P27808|MGAT1_MOUSE	P27808	MGAT1_MOUSE	Mgat1	447	Mus musculus OX=10090	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase 	1:Experimental evidence at protein level	0.9998	0.9990	1	1	1	7	7	7	     0	     0	     0	16K(28.0313), N-term(28.0313)		
sp|P56657|CP240_MOUSE	P56657	CP240_MOUSE	Cyp2c40	491	Mus musculus OX=10090	Cytochrome P450 2C40 	1:Experimental evidence at protein level	0.9998	0.9990	1	0	1	10	0	10	     0	     0	     0	N-term(28.0313)		tr|E9Q7C8|E9Q7C8_MOUSE
sp|P59913|PCMD1_MOUSE	P59913	PCMD1_MOUSE	Pcmtd1	357	Mus musculus OX=10090	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 	1:Experimental evidence at protein level	0.9998	0.9990	2	1	2	5	4	5	     0	     0	     0	9K(28.0313), N-term(28.0313)		
sp|Q6PEE2|CTIF_MOUSE	Q6PEE2	CTIF_MOUSE	Ctif	600	Mus musculus OX=10090	CBP80/20-dependent translation initiation factor 	1:Experimental evidence at protein level	0.9998	0.9990	2	0	2	4	0	4	     0	     0	     0	21K(28.0313), N-term(28.0313)		tr|E9Q1U6|E9Q1U6_MOUSE
sp|Q8BFQ8|GALD1_MOUSE	Q8BFQ8	GALD1_MOUSE	Gatd1	220	Mus musculus OX=10090	Glutamine amidotransferase-like class 1 domain-containing protein 1 	1:Experimental evidence at protein level	0.9998	0.9988	2	2	2	5	5	5	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|Q8BHL8|PSMF1_MOUSE	Q8BHL8	PSMF1_MOUSE	Psmf1	271	Mus musculus OX=10090	Proteasome inhibitor PI31 subunit 	1:Experimental evidence at protein level	0.9998	0.9990	2	2	2	6	6	6	     0	     0	     0	13K(28.0313), N-term(28.0313)		
sp|Q8BKI2|TNR6B_MOUSE	Q8BKI2	TNR6B_MOUSE	Tnrc6b	1810	Mus musculus OX=10090	Trinucleotide repeat-containing gene 6B protein 	1:Experimental evidence at protein level	0.9998	0.9990	1	1	1	1	1	1	     0	     0	     0	12K(28.0313), N-term(28.0313)		
sp|Q8BP56|PGGHG_MOUSE	Q8BP56	PGGHG_MOUSE	Pgghg	690	Mus musculus OX=10090	Protein-glucosylgalactosylhydroxylysine glucosidase 	1:Experimental evidence at protein level	0.9998	0.9985	2	1	2	3	2	3	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|Q8C0N1|KIF2B_MOUSE	Q8C0N1	KIF2B_MOUSE	Kif2b	668	Mus musculus OX=10090	Kinesin-like protein KIF2B 	1:Experimental evidence at protein level	0.9998	0.9980	1	0	1	1	0	1	     0	     0	     0	N-term(28.0313)		
sp|Q8CHK3|MBOA7_MOUSE	Q8CHK3	MBOA7_MOUSE	Mboat7	473	Mus musculus OX=10090	Lysophospholipid acyltransferase 7 	1:Experimental evidence at protein level	0.9998	0.9990	2	1	2	6	1	6	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|Q8K354|CBR3_MOUSE	Q8K354	CBR3_MOUSE	Cbr3	277	Mus musculus OX=10090	Carbonyl reductase [NADPH] 3 	1:Experimental evidence at protein level	0.9998	0.9990	1	0	1	1	0	1	     0	     0	     0	N-term(28.0313)		tr|A0A338P797|A0A338P797_MOUSE
sp|Q8K4G5|ABLM1_MOUSE	Q8K4G5	ABLM1_MOUSE	Ablim1	861	Mus musculus OX=10090	Actin-binding LIM protein 1 	1:Experimental evidence at protein level	0.9998	0.9990	2	0	2	7	0	7	     0	     0	     0	N-term(28.0313)		tr|E9Q030|E9Q030_MOUSE, tr|E9Q9C0|E9Q9C0_MOUSE, tr|E9Q9C1|E9Q9C1_MOUSE, tr|E9Q9C2|E9Q9C2_MOUSE, tr|E9Q9C4|E9Q9C4_MOUSE, tr|E9Q9C7|E9Q9C7_MOUSE, tr|E9Q9D1|E9Q9D1_MOUSE, tr|E9Q9D2|E9Q9D2_MOUSE, tr|E9Q9Q7|E9Q9Q7_MOUSE, tr|E9QK41|E9QK41_MOUSE
sp|Q91WP0|MASP2_MOUSE	Q91WP0	MASP2_MOUSE	Masp2	685	Mus musculus OX=10090	Mannan-binding lectin serine protease 2 	1:Experimental evidence at protein level	0.9998	0.9985	1	1	1	3	3	3	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|Q921H9|COA7_MOUSE	Q921H9	COA7_MOUSE	Coa7	231	Mus musculus OX=10090	Cytochrome c oxidase assembly factor 7 	1:Experimental evidence at protein level	0.9998	0.9990	2	2	2	6	6	6	     0	     0	     0	10K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q9D1K2|VATF_MOUSE	Q9D1K2	VATF_MOUSE	Atp6v1f	119	Mus musculus OX=10090	V-type proton ATPase subunit F 	1:Experimental evidence at protein level	0.9998	0.9990	2	1	2	4	3	4	     0	     0	     0	2M(15.9949), N-term(28.0313)		
sp|Q9EPB4|ASC_MOUSE	Q9EPB4	ASC_MOUSE	Pycard	193	Mus musculus OX=10090	Apoptosis-associated speck-like protein containing a CARD 	1:Experimental evidence at protein level	0.9998	0.9990	2	1	2	2	1	2	     0	     0	     0	14K(28.0313), N-term(28.0313)		
